Date, MaxTemperature, MinTemperature, AvgTemperature, AtObsTemperature, Precipitation, Snowfall, SnowDepth
2000-03-01, 65, 48, 56.5, M, 0.00, M, M
2000-03-02, 70, 46, 58.0, M, 0.00, M, M
2000-03-03, 62, 50, 56.0, M, 0.28, M, M
2000-03-04, 57, 49, 53.0, M, 0.07, M, M
2000-03-05, 56, 45, 50.5, M, 1.71, M, M
2000-03-06, 58, 44, 51.0, M, 0.04, M, M
2000-03-07, 58, 43, 50.5, M, T, M, M
2000-03-08, 60, 49, 54.5, M, 0.71, M, M
2000-03-09, 62, 46, 54.0, M, 0.01, M, M
2000-03-10, 72, 46, 59.0, M, T, M, M
2000-03-11, 80, 52, 66.0, M, 0.00, M, M
2000-03-12, 75, 50, 62.5, M, 0.00, M, M
2000-03-13, 68, 55, 61.5, M, 0.00, M, M
2000-03-14, 74, 49, 61.5, M, 0.00, M, M
2000-03-15, 72, 52, 62.0, M, 0.00, M, M
2000-03-16, 68, 56, 62.0, M, 0.00, M, M
2000-03-17, 72, 57, 64.5, M, 0.00, M, M
2000-03-18, 80, 53, 66.5, M, 0.00, M, M
2000-03-19, 75, 54, 64.5, M, 0.00, M, M
2000-03-20, 71, 55, 63.0, M, 0.00, M, M
2000-03-21, 73, 54, 63.5, M, 0.00, M, M
2000-03-22, 74, 50, 62.0, M, T, M, M
2000-03-23, 70, 50, 60.0, M, 0.00, M, M
2000-03-24, 67, 52, 59.5, M, 0.00, M, M
2000-03-25, 66, 51, 58.5, M, 0.00, M, M
2000-03-26, 69, 50, 59.5, M, 0.00, M, M
2000-03-27, 67, 55, 61.0, M, 0.00, M, M
2000-03-28, 65, 54, 59.5, M, 0.00, M, M
2000-03-29, 65, 53, 59.0, M, 0.00, M, M
2000-03-30, 67, 52, 59.5, M, 0.00, M, M
2000-03-31, 83, 49, 66.0, M, 0.00, M, M
2000-04-01, 85, 60, 72.5, M, 0.00, M, M
2000-04-02, 79, 55, 67.0, M, 0.00, M, M
2000-04-03, 76, 57, 66.5, M, 0.00, M, M
2000-04-04, 75, 56, 65.5, M, 0.00, M, M
2000-04-05, 74, 54, 64.0, M, 0.00, M, M
2000-04-06, 68, 57, 62.5, M, 0.00, M, M
2000-04-07, 69, 55, 62.0, M, 0.00, M, M
2000-04-08, 73, 53, 63.0, M, 0.00, M, M
2000-04-09, 70, 52, 61.0, M, 0.00, M, M
2000-04-10, 70, 56, 63.0, M, 0.00, M, M
2000-04-11, 78, 55, 66.5, M, 0.00, M, M
2000-04-12, 82, 53, 67.5, M, 0.00, M, M
2000-04-13, 73, 54, 63.5, M, 0.00, M, M
2000-04-14, 66, 54, 60.0, M, T, M, M
2000-04-15, 66, 55, 60.5, M, 0.00, M, M
2000-04-16, 68, 55, 61.5, M, 0.00, M, M
2000-04-17, 60, 52, 56.0, M, 1.24, M, M
2000-04-18, 65, 50, 57.5, M, 0.25, M, M
2000-04-19, 69, 50, 59.5, M, 0.00, M, M
2000-04-20, 78, 52, 65.0, M, 0.00, M, M
2000-04-21, 68, 55, 61.5, M, 0.00, M, M
2000-04-22, 67, 55, 61.0, M, 0.00, M, M
2000-04-23, 69, 54, 61.5, M, 0.00, M, M
2000-04-24, 76, 52, 64.0, M, 0.00, M, M
2000-04-25, 79, 57, 68.0, M, 0.00, M, M
2000-04-26, 89, 59, 74.0, M, 0.00, M, M
2000-04-27, 77, 60, 68.5, M, 0.00, M, M
2000-04-28, 68, 58, 63.0, M, T, M, M
2000-04-29, 75, 54, 64.5, M, 0.00, M, M
2000-04-30, 83, 57, 70.0, M, 0.00, M, M
2000-05-01, 85, 60, 72.5, M, 0.00, M, M
2000-05-02, 78, 60, 69.0, M, 0.00, M, M
2000-05-03, 77, 59, 68.0, M, 0.00, M, M
2000-05-04, 74, 62, 68.0, M, 0.00, M, M
2000-05-05, 70, 61, 65.5, M, 0.00, M, M
2000-05-06, 72, 58, 65.0, M, 0.00, M, M
2000-05-07, 72, 57, 64.5, M, 0.00, M, M
2000-05-08, 75, 60, 67.5, M, 0.00, M, M
2000-05-09, 73, 60, 66.5, M, 0.00, M, M
2000-05-10, 70, 58, 64.0, M, 0.00, M, M
2000-05-11, 77, 54, 65.5, M, 0.00, M, M
2000-05-12, 84, 55, 69.5, M, 0.00, M, M
2000-05-13, 81, 55, 68.0, M, 0.00, M, M
