Date, MaxTemperature, MinTemperature, AvgTemperature, AtObsTemperature, Precipitation, Snowfall, SnowDepth
2000-03-01, 62, 45, 53.5, M, 0.00, M, M
2000-03-02, 56, 48, 52.0, M, 0.27, M, M
2000-03-03, 61, 46, 53.5, M, 0.00, M, M
2000-03-04, 58, 50, 54.0, M, 0.52, M, M
2000-03-05, 51, 47, 49.0, M, 0.05, M, M
2000-03-06, 55, 46, 50.5, M, 0.01, M, M
2000-03-07, 53, 44, 48.5, M, 0.62, M, M
2000-03-08, 51, 42, 46.5, M, 0.46, M, M
2000-03-09, 57, 47, 52.0, M, 0.09, M, M
2000-03-10, 61, 47, 54.0, M, 0.00, M, M
2000-03-11, 60, 52, 56.0, M, 0.02, M, M
2000-03-12, 65, 49, 57.0, M, 0.00, M, M
2000-03-13, 60, 49, 54.5, M, 0.00, M, M
2000-03-14, 67, 51, 59.0, M, 0.00, M, M
2000-03-15, 72, 50, 61.0, M, 0.00, M, M
2000-03-16, 61, 52, 56.5, M, 0.00, M, M
2000-03-17, 69, 46, 57.5, M, 0.00, M, M
2000-03-18, 70, 52, 61.0, M, 0.00, M, M
2000-03-19, 59, 48, 53.5, M, 0.00, M, M
2000-03-20, 68, 48, 58.0, M, 0.00, M, M
2000-03-21, 75, 53, 64.0, M, 0.00, M, M
2000-03-22, 66, 51, 58.5, M, 0.00, M, M
2000-03-23, 56, 48, 52.0, M, 0.00, M, M
2000-03-24, 58, 44, 51.0, M, 0.00, M, M
2000-03-25, 58, 48, 53.0, M, 0.00, M, M
2000-03-26, 57, 46, 51.5, M, 0.00, M, M
2000-03-27, 56, 49, 52.5, M, 0.00, M, M
2000-03-28, 56, 45, 50.5, M, 0.00, M, M
2000-03-29, 60, 45, 52.5, M, 0.00, M, M
2000-03-30, 68, 48, 58.0, M, 0.00, M, M
2000-03-31, 82, 62, 72.0, M, 0.00, M, M
2000-04-01, 83, 61, 72.0, M, 0.00, M, M
2000-04-02, 79, 58, 68.5, M, 0.00, M, M
2000-04-03, 62, 57, 59.5, M, 0.00, M, M
2000-04-04, 58, 51, 54.5, M, 0.00, M, M
2000-04-05, 57, 50, 53.5, M, 0.00, M, M
2000-04-06, 58, 49, 53.5, M, 0.00, M, M
2000-04-07, 64, 49, 56.5, M, 0.00, M, M
2000-04-08, 54, 48, 51.0, M, 0.00, M, M
2000-04-09, 60, 50, 55.0, M, 0.00, M, M
2000-04-10, 60, 47, 53.5, M, 0.00, M, M
2000-04-11, 65, 48, 56.5, M, 0.00, M, M
2000-04-12, 73, 52, 62.5, M, 0.26, M, M
2000-04-13, 62, 55, 58.5, M, 0.00, M, M
2000-04-14, 61, 52, 56.5, M, 0.25, M, M
2000-04-15, 61, 52, 56.5, M, 0.00, M, M
2000-04-16, 62, 53, 57.5, M, 0.54, M, M
2000-04-17, 61, 51, 56.0, M, 0.51, M, M
2000-04-18, 63, 50, 56.5, M, 0.00, M, M
2000-04-19, 62, 49, 55.5, M, 0.00, M, M
2000-04-20, 67, 52, 59.5, M, 0.00, M, M
2000-04-21, 60, 51, 55.5, M, 0.00, M, M
2000-04-22, 61, 51, 56.0, M, 0.10, M, M
2000-04-23, 60, 49, 54.5, M, 0.00, M, M
2000-04-24, 64, 47, 55.5, M, 0.00, M, M
2000-04-25, 62, 50, 56.0, M, 0.00, M, M
2000-04-26, 74, 50, 62.0, M, 0.00, M, M
2000-04-27, 60, 50, 55.0, M, 0.00, M, M
2000-04-28, 59, 48, 53.5, M, 0.00, M, M
2000-04-29, 63, 46, 54.5, M, 0.00, M, M
2000-04-30, 67, 48, 57.5, M, 0.00, M, M
2000-05-01, 62, 49, 55.5, M, 0.00, M, M
2000-05-02, 60, 50, 55.0, M, 0.00, M, M
2000-05-03, 63, 50, 56.5, M, 0.00, M, M
2000-05-04, 62, 51, 56.5, M, 0.00, M, M
2000-05-05, 60, 51, 55.5, M, 0.00, M, M
2000-05-06, 56, 48, 52.0, M, 0.03, M, M
2000-05-07, 60, 51, 55.5, M, 0.68, M, M
2000-05-08, 64, 55, 59.5, M, 0.30, M, M
2000-05-09, 61, 53, 57.0, M, 0.00, M, M
2000-05-10, 58, 50, 54.0, M, 0.00, M, M
2000-05-11, 60, 47, 53.5, M, 0.00, M, M
2000-05-12, 60, 46, 53.0, M, 0.00, M, M
2000-05-13, 61, 50, 55.5, M, 0.00, M, M
2000-05-14, 60, 53, 56.5, M, 0.22, M, M
2000-05-15, 63, 52, 57.5, M, 0.17, M, M
2000-05-16, 61, 51, 56.0, M, 0.00, M, M
2000-05-17, 64, 51, 57.5, M, 0.00, M, M
2000-05-18, 70, 53, 61.5, M, 0.00, M, M
2000-05-19, 73, 53, 63.0, M, 0.00, M, M
2000-05-20, 71, 53, 62.0, M, 0.00, M, M
2000-05-21, 90, 57, 73.5, M, 0.00, M, M
2000-05-22, 78, 57, 67.5, M, 0.00, M, M
2000-05-23, 79, 59, 69.0, M, 0.00, M, M
2000-05-24, 63, 54, 58.5, M, 0.00, M, M
2000-05-25, 61, 50, 55.5, M, 0.00, M, M
2000-05-26, 61, 51, 56.0, M, 0.00, M, M
2000-05-27, 66, 52, 59.0, M, 0.00, M, M
2000-05-28, 65, 54, 59.5, M, 0.00, M, M
2000-05-29, 64, 50, 57.0, M, 0.00, M, M
2000-05-30, 64, 50, 57.0, M, 0.00, M, M
2000-05-31, 69, 51, 60.0, M, 0.00, M, M
2000-06-01, 72, 50, 61.0, M, 0.00, M, M
2000-06-02, 61, 50, 55.5, M, 0.00, M, M
2000-06-03, 58, 50, 54.0, M, 0.00, M, M
2000-06-04, 59, 49, 54.0, M, 0.00, M, M
2000-06-05, 65, 53, 59.0, M, 0.00, M, M
2000-06-06, 63, 51, 57.0, M, 0.00, M, M
2000-06-07, 65, 54, 59.5, M, 0.11, M, M
2000-06-08, 61, 52, 56.5, M, 0.05, M, M
2000-06-09, 62, 51, 56.5, M, 0.00, M, M
2000-06-10, 63, 50, 56.5, M, 0.00, M, M
2000-06-11, 68, 51, 59.5, M, 0.00, M, M
2000-06-12, 69, 53, 61.0, M, 0.00, M, M
2000-06-13, 85, 56, 70.5, M, 0.00, M, M
