Date, MaxTemperature, MinTemperature, AvgTemperature, AtObsTemperature, Precipitation, Snowfall, SnowDepth
2000-01-01, 77, 46, 61.5, 51, 0.14, 0.0, 0
2000-01-02, 61, 39, 50.0, 54, 0.09, 0.0, 0
2000-01-03, 69, 34, 51.5, 59, 0.00, 0.0, 0
2000-01-04, 73, 39, 56.0, 68, 0.00, 0.0, 0
2000-01-05, 74, 37, 55.5, 68, 0.00, 0.0, 0
2000-01-06, 72, 37, 54.5, 58, 0.00, 0.0, 0
2000-01-07, 72, 34, 53.0, 63, 0.00, 0.0, 0
2000-01-08, 71, 34, 52.5, 62, 0.00, 0.0, 0
2000-01-09, 69, 35, 52.0, 59, 0.00, 0.0, 0
2000-01-10, 68, 37, 52.5, 58, 0.00, 0.0, 0
2000-01-11, 68, 38, 53.0, 60, 0.00, 0.0, 0
2000-01-12, 65, 42, 53.5, 58, 0.00, 0.0, 0
2000-01-13, M, M, M, M, 0.00, 0.0, 0
2000-01-14, 82, 40, 61.0, 71, 0.00, 0.0, 0
2000-01-15, 84, 50, 67.0, 56, 0.00, 0.0, 0
2000-01-16, 63, 53, 58.0, 61, 0.00, 0.0, 0
2000-01-17, 74, 55, 64.5, 58, 0.00, 0.0, 0
2000-01-18, 79, 55, 67.0, 71, 0.00, 0.0, 0
2000-01-19, 77, 50, 63.5, 65, 0.00, 0.0, 0
2000-01-20, 74, 55, 64.5, 64, 0.00, 0.0, 0
2000-01-21, 68, 50, 59.0, 52, 0.00, 0.0, 0
2000-01-22, 64, 52, 58.0, 58, 0.00, 0.0, 0
2000-01-23, 65, 52, 58.5, 56, 0.00, 0.0, 0
2000-01-24, 76, 52, 64.0, 70, 0.00, 0.0, 0
2000-01-25, 70, 56, 63.0, 58, 0.34, 0.0, 0
2000-01-26, 67, 51, 59.0, 59, 0.01, 0.0, 0
2000-01-27, 70, 41, 55.5, 60, 0.00, 0.0, 0
2000-01-28, 73, 40, 56.5, 67, 0.00, 0.0, 0
2000-01-29, 73, 45, 59.0, 64, 0.00, 0.0, 0
2000-01-30, 64, M, M, M, T, 0.0, 0
2000-01-31, M, M, M, M, 0.10, 0.0, 0
2000-02-01, 78, 44, 61.0, 73, 0.00, 0.0, 0
2000-02-02, 81, 47, 64.0, 73, 0.00, 0.0, 0
2000-02-03, 80, 43, 61.5, 47, 0.00, 0.0, 0
2000-02-04, 68, 47, 57.5, 62, 0.00, 0.0, 0
2000-02-05, 67, 49, 58.0, 64, 0.00, 0.0, 0
2000-02-06, 78, 44, 61.0, 61, 0.00, 0.0, 0
2000-02-07, 85, 46, 65.5, 73, 0.00, 0.0, 0
2000-02-08, 73, 51, 62.0, 67, 0.00, 0.0, 0
2000-02-09, 71, 48, 59.5, 62, 0.00, 0.0, 0
2000-02-10, 62, 50, 56.0, 53, 0.18, 0.0, 0
2000-02-11, 64, 50, 57.0, 61, 0.05, 0.0, 0
2000-02-12, 64, 51, 57.5, 56, T, 0.0, 0
2000-02-13, 64, 50, 57.0, 56, 0.17, 0.0, 0
2000-02-14, 63, 52, 57.5, 57, 0.19, 0.0, 0
2000-02-15, 70, 53, 61.5, 59, 0.18, 0.0, 0
2000-02-16, 59, 47, 53.0, M, 0.15, 0.0, 0
2000-02-17, 61, M, M, 59, 0.02, 0.0, 0
2000-02-18, 70, 42, 56.0, 58, 0.00, 0.0, 0
2000-02-19, 77, 42, 59.5, 68, 0.00, 0.0, 0
2000-02-20, 68, 52, 60.0, 60, 0.22, 0.0, 0
2000-02-21, 60, 45, 52.5, M, 1.10, 0.0, 0
2000-02-22, 58, 44, 51.0, 56, 0.02, 0.0, 0
2000-02-23, 56, M, M, M, 0.52, 0.0, 0
2000-02-24, 59, 38, 48.5, 55, T, 0.0, 0
2000-02-25, 62, 47, 54.5, 53, 0.00, 0.0, 0
2000-02-26, 69, 42, 55.5, 58, 0.00, 0.0, 0
2000-02-27, 59, 45, 52.0, 50, 0.00, 0.0, 0
2000-02-28, 63, 45, 54.0, 60, 0.15, 0.0, 0
2000-02-29, 65, 43, 54.0, 55, 0.00, 0.0, 0
2000-03-01, 67, 47, 57.0, 58, 0.00, 0.0, 0
2000-03-02, 72, 42, 57.0, 61, 0.00, 0.0, 0
2000-03-03, 64, 52, 58.0, 57, 0.00, 0.0, 0
2000-03-04, 57, 47, 52.0, 51, 0.17, 0.0, 0
2000-03-05, 55, 45, 50.0, 48, 0.75, 0.0, 0
2000-03-06, 58, 38, 48.0, 50, 0.05, 0.0, 0
2000-03-07, 57, 38, 47.5, 54, 0.02, 0.0, 0
2000-03-08, 56, 47, 51.5, 55, 0.59, 0.0, 0
2000-03-09, 62, 42, 52.0, 51, 0.00, 0.0, 0
2000-03-10, 74, 41, 57.5, 71, 0.00, 0.0, 0
2000-03-11, 81, 44, 62.5, 68, 0.00, 0.0, 0
2000-03-12, 82, 46, 64.0, 76, 0.00, 0.0, 0
2000-03-13, 76, 48, 62.0, 71, 0.00, 0.0, 0
2000-03-14, 80, 48, 64.0, 74, 0.00, 0.0, 0
2000-03-15, 84, 48, 66.0, 76, 0.00, 0.0, 0
2000-03-16, 78, 53, 65.5, 70, 0.00, 0.0, 0
2000-03-17, 84, 52, 68.0, 76, 0.00, 0.0, 0
2000-03-18, 86, 47, 66.5, 70, 0.00, 0.0, 0
2000-03-19, 80, 54, 67.0, 70, 0.00, 0.0, 0
2000-03-20, 80, 51, 65.5, 60, 0.00, 0.0, 0
2000-03-21, 73, 53, 63.0, 72, 0.00, 0.0, 0
2000-03-22, 76, 43, 59.5, 71, 0.00, 0.0, 0
