Date, MaxTemperature, MinTemperature, AvgTemperature, AtObsTemperature, Precipitation, Snowfall, SnowDepth
2000-01-01, 59, 51, 55.0, M, 0.03, 0.0, 0
2000-01-02, 60, 49, 54.5, M, 0.00, 0.0, 0
2000-01-03, 67, 45, 56.0, M, 0.00, 0.0, 0
2000-01-04, 67, 45, 56.0, M, 0.00, 0.0, 0
2000-01-05, 64, 45, 54.5, M, 0.00, 0.0, 0
2000-01-06, 68, 43, 55.5, M, 0.00, 0.0, 0
2000-01-07, 64, 45, 54.5, M, 0.00, 0.0, 0
2000-01-08, 61, 44, 52.5, M, 0.00, 0.0, 0
2000-01-09, 64, 44, 54.0, M, 0.00, 0.0, 0
2000-01-10, 62, 44, 53.0, M, 0.00, 0.0, 0
2000-01-11, 59, 46, 52.5, M, 0.00, 0.0, 0
2000-01-12, 61, 52, 56.5, M, 0.00, 0.0, 0
2000-01-13, 72, 48, 60.0, M, 0.00, 0.0, 0
2000-01-14, 77, 52, 64.5, M, 0.00, 0.0, 0
2000-01-15, 69, 55, 62.0, M, 0.00, 0.0, 0
2000-01-16, 68, 53, 60.5, M, 0.03, 0.0, 0
2000-01-17, 77, 59, 68.0, M, T, 0.0, 0
2000-01-18, 76, 59, 67.5, M, 0.00, 0.0, 0
2000-01-19, 74, 56, 65.0, M, 0.00, 0.0, 0
2000-01-20, 70, 58, 64.0, M, 0.00, 0.0, 0
2000-01-21, 62, 56, 59.0, M, 0.00, 0.0, 0
2000-01-22, 63, 54, 58.5, M, 0.00, 0.0, 0
2000-01-23, 66, 51, 58.5, M, 0.00, 0.0, 0
2000-01-24, 76, 58, 67.0, M, 0.00, 0.0, 0
2000-01-25, 64, 58, 61.0, M, 0.01, 0.0, 0
2000-01-26, 62, 52, 57.0, M, 0.02, 0.0, 0
2000-01-27, 64, 47, 55.5, M, 0.00, 0.0, 0
2000-01-28, 61, 47, 54.0, M, 0.00, 0.0, 0
2000-01-29, 61, 47, 54.0, M, T, 0.0, 0
2000-01-30, 62, 52, 57.0, M, 0.00, 0.0, 0
2000-01-31, 61, 53, 57.0, M, 0.08, 0.0, 0
2000-02-01, 72, 49, 60.5, M, 0.00, 0.0, 0
2000-02-02, 83, 57, 70.0, M, 0.00, 0.0, 0
2000-02-03, 76, 50, 63.0, M, 0.00, 0.0, 0
2000-02-04, 64, 52, 58.0, M, 0.00, 0.0, 0
2000-02-05, 64, 56, 60.0, M, 0.02, 0.0, 0
2000-02-06, 74, 53, 63.5, M, 0.00, 0.0, 0
2000-02-07, 74, 50, 62.0, M, 0.00, 0.0, 0
2000-02-08, 69, 56, 62.5, M, T, 0.0, 0
2000-02-09, 62, 53, 57.5, M, 0.00, 0.0, 0
2000-02-10, 63, 55, 59.0, M, 0.11, 0.0, 0
2000-02-11, 63, 55, 59.0, M, 0.01, 0.0, 0
2000-02-12, 62, 55, 58.5, M, 0.39, 0.0, 0
2000-02-13, 62, 54, 58.0, M, 0.10, 0.0, 0
2000-02-14, 63, 57, 60.0, M, 0.01, 0.0, 0
2000-02-15, 65, 54, 59.5, M, 0.00, 0.0, 0
2000-02-16, 64, 55, 59.5, M, 0.19, 0.0, 0
2000-02-17, 60, 51, 55.5, M, 0.02, 0.0, 0
2000-02-18, 64, 47, 55.5, M, 0.00, 0.0, 0
2000-02-19, 77, 52, 64.5, M, 0.00, 0.0, 0
2000-02-20, 64, 55, 59.5, M, 0.51, 0.0, 0
2000-02-21, 61, 52, 56.5, M, 1.59, 0.0, 0
2000-02-22, 62, 50, 56.0, M, T, 0.0, 0
2000-02-23, 61, 52, 56.5, M, 0.70, 0.0, 0
2000-02-24, 59, 53, 56.0, M, T, 0.0, 0
2000-02-25, 61, 52, 56.5, M, 0.00, 0.0, 0
2000-02-26, 63, 49, 56.0, M, 0.00, 0.0, 0
2000-02-27, 61, 52, 56.5, M, 0.02, 0.0, 0
2000-02-28, 60, 53, 56.5, M, T, 0.0, 0
2000-02-29, 61, 48, 54.5, M, 0.00, 0.0, 0
2000-03-01, 61, 53, 57.0, M, 0.04, 0.0, 0
2000-03-02, 64, 50, 57.0, M, 0.00, 0.0, 0
2000-03-03, 58, 53, 55.5, M, 0.01, 0.0, 0
2000-03-04, 61, 52, 56.5, M, 0.05, 0.0, 0
2000-03-05, 59, 49, 54.0, M, 0.64, 0.0, 0
2000-03-06, 59, 45, 52.0, M, 0.05, 0.0, 0
2000-03-07, 58, 50, 54.0, M, 0.05, 0.0, 0
2000-03-08, 59, 50, 54.5, M, 0.06, 0.0, 0
2000-03-09, 61, 47, 54.0, M, 0.00, 0.0, 0
2000-03-10, 66, 49, 57.5, M, 0.00, 0.0, 0
2000-03-11, 73, 51, 62.0, M, 0.00, 0.0, 0
2000-03-12, 64, 52, 58.0, M, 0.00, 0.0, 0
2000-03-13, 61, 56, 58.5, M, 0.00, 0.0, 0
2000-03-14, 68, 53, 60.5, M, 0.00, 0.0, 0
2000-03-15, 64, 54, 59.0, M, 0.00, 0.0, 0
2000-03-16, 62, 55, 58.5, M, 0.00, 0.0, 0
2000-03-17, 66, 57, 61.5, M, 0.00, 0.0, 0
2000-03-18, 70, 56, 63.0, M, 0.00, 0.0, 0
2000-03-19, 67, 54, 60.5, M, 0.00, 0.0, 0
2000-03-20, 64, 55, 59.5, M, 0.10, 0.0, 0
2000-03-21, 67, 49, 58.0, M, 0.00, 0.0, 0
2000-03-22, 68, 50, 59.0, M, 0.00, 0.0, 0
2000-03-23, 66, 52, 59.0, M, 0.00, 0.0, 0
2000-03-24, 63, 53, 58.0, M, 0.00, 0.0, 0
2000-03-25, 63, 54, 58.5, M, 0.00, 0.0, 0
2000-03-26, 65, 54, 59.5, M, 0.00, 0.0, 0
2000-03-27, 61, 57, 59.0, M, T, 0.0, 0
2000-03-28, 62, 56, 59.0, M, 0.00, 0.0, 0
2000-03-29, 62, 56, 59.0, M, 0.00, 0.0, 0
2000-03-30, 63, 56, 59.5, M, 0.00, 0.0, 0
2000-03-31, 70, 51, 60.5, M, 0.00, 0.0, 0
2000-04-01, 79, 52, 65.5, M, 0.00, 0.0, 0
2000-04-02, 68, 56, 62.0, M, 0.00, 0.0, 0
2000-04-03, 69, 57, 63.0, M, 0.00, 0.0, 0
2000-04-04, 68, 56, 62.0, M, 0.00, 0.0, 0
2000-04-05, 66, 57, 61.5, M, 0.00, 0.0, 0
2000-04-06, 63, 56, 59.5, M, 0.00, 0.0, 0
